"Genotype"	"Background"	"Background.simple"	"Treatment"	"Treatment.V"	"Chamber.ID"	"Chamber.Irradiance"	"Vernalization"	"Daylength"	"Temperature"	"Fluctuation"	"Survival.Bolt"	"Bolt"	"Days.to.Bolt"	"Days.to.Flower"	"Rosette.leaf.num"	"Cauline.leaf.num"	"Notes"
"48"	"co FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDV"	"2B"	"High"	"V"	16	12	"Con"	"Y"	"Y"	34	46	28	5	NA
"49"	"co FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDV"	"2B"	"High"	"V"	16	12	"Con"	"Y"	"Y"	29	44	22	6	NA
"50"	"co FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDV"	"5B"	"Low"	"V"	16	12	"Con"	"Y"	"Y"	37	48	27	6	NA
"51"	"co FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDV"	"5B"	"Low"	"V"	16	12	"Con"	"Y"	"Y"	35	47	20	2	NA
"52"	"co FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDV"	"5B"	"Low"	"V"	16	12	"Con"	"Y"	"Y"	35	47	25	2	NA
"53"	"co FRI"	"Col FRI"	"Col"	"12ConLD"	"12ConLDV"	"5B"	"Low"	"V"	16	12	"Con"	"Y"	"Y"	35	48	18	3	NA
"54"	"co FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDV"	"4T"	"High"	"V"	8	12	"Con"	"Y"	"Y"	45	60	31	4	NA
"55"	"co FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDV"	"4T"	"High"	"V"	8	12	"Con"	"Y"	"Y"	46	63	30	4	NA
"56"	"co FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDV"	"4T"	"High"	"V"	8	12	"Con"	"Y"	"Y"	44	61	34	5	NA
"57"	"co FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDV"	"4T"	"High"	"V"	8	12	"Con"	"Y"	"Y"	46	61	33	3	NA
"58"	"co FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDV"	"5T"	"Low"	"V"	8	12	"Con"	"Y"	"Y"	53	71	33	6	NA
"59"	"co FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDV"	"5T"	"Low"	"V"	8	12	"Con"	"Y"	"Y"	48	66	30	5	NA
"60"	"co FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDV"	"5T"	"Low"	"V"	8	12	"Con"	"Y"	"Y"	56	72	38	6	NA
"61"	"co FRI"	"Col FRI"	"Col"	"12ConSD"	"12ConSDV"	"5T"	"Low"	"V"	8	12	"Con"	"Y"	"Y"	47	64	23	3	NA
"62"	"co FRI"	"Col FRI"	"Col"	"22ConLD"	"22ConLDV"	"4B"	"High"	"V"	16	22	"Con"	"Y"	"Y"	26	32	26	3	NA
"63"	"co FRI"	"Col FRI"	"Col"	"22ConLD"	"22ConLDV"	"4B"	"High"	"V"	16	22	"Con"	"Y"	"Y"	24	30	16	4	NA
"64"	"co FRI"	"Col FRI"	"Col"	"22ConLD"	"22ConLDV"	"4B"	"High"	"V"	16	22	"Con"	"Y"	"Y"	27	32	24	4	NA
"65"	"co FRI"	"Col FRI"	"Col"	"22ConLD"	"22ConLDV"	"4B"	"High"	"V"	16	22	"Con"	"Y"	"Y"	28	33	23	4	NA
"66"	"co FRI"	"Col FRI"	"Col"	"22ConLD"	"22ConLDV"	"6T"	"Low"	"V"	16	22	"Con"	"Y"	"Y"	29	36	19	6	NA
"67"	"co FRI"	"Col FRI"	"Col"	"22ConLD"	"22ConLDV"	"6T"	"Low"	"V"	16	22	"Con"	"Y"	"Y"	27	32	22	4	NA
"68"	"co FRI"	"Col FRI"	"Col"	"22ConLD"	"22ConLDV"	"6T"	"Low"	"V"	16	22	"Con"	"Y"	"Y"	25	31	18	2	NA
"69"	"co FRI"	"Col FRI"	"Col"	"22ConLD"	"22ConLDV"	"6T"	"Low"	"V"	16	22	"Con"	"Y"	"Y"	29	35	25	5	NA
"70"	"co FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDV"	"2T"	"High"	"V"	8	22	"Con"	"Y"	"Y"	37	44	30	6	NA
"71"	"co FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDV"	"2T"	"High"	"V"	8	22	"Con"	"Y"	"Y"	36	43	29	4	NA
"72"	"co FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDV"	"2T"	"High"	"V"	8	22	"Con"	"Y"	"Y"	37	44	30	7	NA
"73"	"co FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDV"	"2T"	"High"	"V"	8	22	"Con"	"Y"	"Y"	36	43	28	7	NA
"74"	"co FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDV"	"7B"	"Low"	"V"	8	22	"Con"	"Y"	"Y"	40	47	30	6	NA
"75"	"co FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDV"	"7B"	"Low"	"V"	8	22	"Con"	"Y"	"Y"	34	41	30	5	NA
"76"	"co FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDV"	"7B"	"Low"	"V"	8	22	"Con"	"Y"	"Y"	38	44	29	4	NA
"77"	"co FRI"	"Col FRI"	"Col"	"22ConSD"	"22ConSDV"	"7B"	"Low"	"V"	8	22	"Con"	"Y"	"Y"	38	43	29	3	NA
"78"	"co FRI"	"Col FRI"	"Col"	"22VarLD"	"22VarLDV"	"3B"	"High"	"V"	16	22	"Var"	"Y"	"Y"	26	33	18	3	NA
"79"	"co FRI"	"Col FRI"	"Col"	"22VarLD"	"22VarLDV"	"3B"	"High"	"V"	16	22	"Var"	"Y"	"Y"	26	32	19	2	NA
"80"	"co FRI"	"Col FRI"	"Col"	"22VarLD"	"22VarLDV"	"3B"	"High"	"V"	16	22	"Var"	"Y"	"Y"	28	34	19	2	NA
"81"	"co FRI"	"Col FRI"	"Col"	"22VarLD"	"22VarLDV"	"3B"	"High"	"V"	16	22	"Var"	"Y"	"Y"	26	32	18	3	NA
"82"	"co FRI"	"Col FRI"	"Col"	"22VarLD"	"22VarLDV"	"7T"	"Low"	"V"	16	22	"Var"	"Y"	"Y"	24	31	14	2	NA
"83"	"co FRI"	"Col FRI"	"Col"	"22VarLD"	"22VarLDV"	"7T"	"Low"	"V"	16	22	"Var"	"Y"	"Y"	24	32	18	3	NA
"84"	"co FRI"	"Col FRI"	"Col"	"22VarLD"	"22VarLDV"	"7T"	"Low"	"V"	16	22	"Var"	"Y"	"Y"	26	33	19	2	NA
"85"	"co FRI"	"Col FRI"	"Col"	"22VarLD"	"22VarLDV"	"7T"	"Low"	"V"	16	22	"Var"	"Y"	"Y"	24	33	17	2	NA
