"Genotype"	"Background"	"Background.simple"	"Treatment"	"Treatment.V"	"Chamber.ID"	"Chamber.Irradiance"	"Vernalization"	"Daylength"	"Temperature"	"Fluctuation"	"Survival.Bolt"	"Bolt"	"Days.to.Bolt"	"Days.to.Flower"	"Rosette.leaf.num"	"Cauline.leaf.num"	"Blade.length.mm"	"Total.leaf.length.mm"	"Blade.ratio"	"Notes"
"79"	"co-2"	"Ler"	"Ler"	"12ConSD"	"12ConSDNV"	"7T"	"Low"	"NV"	8	12	"Con"	"Y"	"Y"	72	93	34	10	21.7	31.3	0.693290735	""
"80"	"co-2"	"Ler"	"Ler"	"12ConSD"	"12ConSDNV"	"7T"	"Low"	"NV"	8	12	"Con"	"Y"	"Y"	74	95	33	10	19.1	29.1	0.656357388	""
"81"	"co-2"	"Ler"	"Ler"	"12ConSD"	"12ConSDNV"	"7T"	"Low"	"NV"	8	12	"Con"	"Y"	"Y"	85	105	39	10	37.7	51.3	0.734892788	""
"82"	"co-2"	"Ler"	"Ler"	"12VarLD"	"12VarLDNV"	"3B"	"High"	"NV"	16	12	"Var"	"Y"	"Y"	41	57	22	10	20.9	29.7	0.703703704	""
"83"	"co-2"	"Ler"	"Ler"	"12VarLD"	"12VarLDNV"	"3B"	"High"	"NV"	16	12	"Var"	"Y"	"Y"	42	57	24	10	20.6	30.6	0.673202614	""
"84"	"co-2"	"Ler"	"Ler"	"12VarLD"	"12VarLDNV"	"3B"	"High"	"NV"	16	12	"Var"	"Y"	"Y"	42	57	25	11	19.7	31.8	0.619496855	""
"85"	"co-2"	"Ler"	"Ler"	"12VarLD"	"12VarLDNV"	"5B"	"Low"	"NV"	16	12	"Var"	"Y"	"Y"	43	63	25	11	20.9	31.9	0.655172414	""
"86"	"co-2"	"Ler"	"Ler"	"12VarLD"	"12VarLDNV"	"5B"	"Low"	"NV"	16	12	"Var"	"Y"	"Y"	43	62	24	10	22.1	30.3	0.729372937	""
"87"	"co-2"	"Ler"	"Ler"	"12VarLD"	"12VarLDNV"	"3B"	"High"	"NV"	16	12	"Var"	"Y"	"Y"	45	58	21	12	19.3	27.1	0.712177122	""
"88"	"co-2"	"Ler"	"Ler"	"12VarLD"	"12VarLDNV"	"5B"	"Low"	"NV"	16	12	"Var"	"Y"	"Y"	45	62	23	10	23.1	30.9	0.747572816	""
